ticker,short name,name
RCL,royal-caribbean-cruises,Royal Caribbean Cruises
RCM,r1-rcm,R1 RCM
RCMT,rcm,RCM
RCON,recon-technology,Recon Technology
RCS,pimco-strategic-income-fund,PIMCO Strategic Income Fund
RCUS,arcus-biosciences,Arcus Biosciences
RDC,rowan-companies-plc,Rowan Companies plc
RDCM,radcom,Radcom
RDFN,redfin,Redfin
RDHL,redhill-biopharma,Redhill Biopharma
RDI,reading-international,Reading International
RDIB,reading-international,Reading International
RDN,radian,Radian
RDNT,radnet,RadNet
RDS.A,royal-dutch-shell-plc-american-depositary-shares-(each-representing-two-a),Royal Dutch Shell PLC American Depositary Shares (Each representing two A)
RDS.B,royal-dutch-shell-plc-american-depositary-shares-(each-representing-two-b),Royal Dutch Shell PLC American Depositary Shares (Each representing two B)
RDUS,radius-health,Radius Health
RDVT,red-violet,Red Violet
RDWR,radware,Radware
RDY,dr-reddy's-laboratories,Dr. Reddy's Laboratories
RE,everest-re,Everest Re
RECN,resources-connection,Resources Connection
REDU,rise-education-cayman,RISE Education Cayman
REED,reeds,Reeds
REFR,research-frontiers-incorporated,Research Frontiers Incorporated
REG,regency-centers,Regency Centers
REGI,renewable-energy,Renewable Energy
REGN,regeneron-pharmaceuticals,Regeneron Pharmaceuticals
REI,ring-energy,Ring Energy
REK,proshares-short-real-estate,ProShares Short Real Estate
RELL,richardson-electronics,Richardson Electronics
RELV,reliv'-international,Reliv' International
RELX,relx-plc-plc-american-depositary-shares-(each-representing-one),RELX PLC PLC American Depositary Shares (Each representing One)
REN,resolute-energy-comon-stock,Resolute Energy Comon Stock
RENN,renren-american-depositary-shares-each-representing-fifteen,Renren American Depositary Shares each representing fifteen
REPH,recro-pharma,Recro Pharma
REPL,replimune,Replimune
RES,rpc,RPC
RESI,front-yard-residential,Front Yard Residential
RESN,resonant,Resonant
RETA,reata-pharmaceuticals,Reata Pharmaceuticals
RETL,direxion-daily-retail-bull-3x-shares,Direxion Daily Retail Bull 3X Shares
RETO,reto-eco-solutions,ReTo Eco-Solutions
REV,revlon,Revlon
REVG,rev,REV
REX,rex-american-resources,REX American Resources
REXR,rexford-industrial-realty,Rexford Industrial Realty
REZ,ishares-trust-residential-real-estate,iShares Trust Residential Real Estate
REZI,resideo,Resideo
RF,regions-financial,Regions Financial
RFG,invesco-s-p-midcap-400-pure-growth,Invesco S&P Midcap 400 Pure Growth
RFI,cohen-steers-total-return-realty-fund,Cohen & Steers Total Return Realty Fund
RFIL,rf-industries,RF Industries
RFL,rafael-b,Rafael B
RFP,resolute-forest-products,Resolute Forest Products
RFV,invesco-s-p-midcap-400-pure-value,Invesco S&P Midcap 400 Pure Value
RGA,reinsurance-of-america-incorporated,Reinsurance of America Incorporated
RGCO,rgc-resources,RGC Resources
RGEN,repligen,Repligen
RGI,invesco-s-p-500-equal-weight-industrials-portfolio,Invesco S&P 500 Equal Weight Industrials Portfolio
RGLD,royal-gold,Royal Gold
RGLS,regulus-therapeutics,Regulus Therapeutics
RGNX,regenxbio,REGENXBIO
RGR,sturm-ruger-company,Sturm Ruger & Company
RGS,regis,Regis
RGSE,real-goods-solar,Real Goods Solar
RGT,royce-global-value-trust,Royce Global Value Trust
RH,rh,RH
RHE,regional-health-properties,Regional Health Properties
RHI,robert-half-international,Robert Half International
RHP,ryman-hospitality-properties-(reit),Ryman Hospitality Properties (REIT)
RHS,invesco-s-p-500-equal-weight-consumer-staples,Invesco S&P 500 Equal Weight Consumer Staples
RHT,red-hat,Red Hat
RIBT,ricebran,RiceBran
RICK,rci-hospitality,RCI Hospitality
RIF,rmr-real-estate-income-fund-(md),RMR Real Estate Income Fund (MD)
RIG,transocean-(switzerland),Transocean (Switzerland)
RIGL,rigel-pharmaceuticals,Rigel Pharmaceuticals
RILY,b-riley-financial,B. Riley Financial
RINF,proshares-inflation-expectations,ProShares Inflation Expectations
RIO,rio-tinto-plc,Rio Tinto Plc
RIOT,riot-blockchain,Riot Blockchain
RIV,rivernorth-opportunities-fund,RiverNorth Opportunities Fund
RIVE,riverview-financial,Riverview Financial
RJA,ab-svensk-ekportkredit-(swedish-export-credit-corporation)-elements-linked-to-the-rogers-international-commodity-index-agriculture-total-return-structured-pro,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index Agriculture Total Return Structured Pro
RJF,raymond-james-financial,Raymond James Financial
RJI,ab-svensk-ekportkredit-(swedish-export-credit-corporation)-elements-linked-to-the-rogers-international-commodity-index-total-return-structured-product,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index Total Return Structured Product
RJN,ab-svensk-ekportkredit-(swedish-export-credit-corporation)-elements-linked-to-the-rogers-international-commodity-index-energy-total-return-structured-product,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index Energy Total Return Structured Product
RJZ,ab-svensk-ekportkredit-(swedish-export-credit-corporation)-elements-linked-to-the-rogers-international-commodity-index-metals-total-return-structured-product,AB Svensk Ekportkredit (Swedish Export Credit Corporation) ELEMENTS Linked to the Rogers International Commodity Index Metals Total Return Structured Product
RKDA,arcadia-biosciences,Arcadia Biosciences
RL,ralph-lauren,Ralph Lauren
RLGT,radiant-logistics,Radiant Logistics
RLGY,realogy,Realogy
RLH,red-lions-hotels,Red Lions Hotels
RLI,rli-(de),RLI (DE)
RLJ,rlj-lodging-trust-of-beneficial-interest-$0-01-par-value,RLJ Lodging Trust of Beneficial Interest $0.01 par value
RLM,realm-therapeutics-plc,Realm Therapeutics plc
RLY,spdr-ssga-multi-asset-real-return,SPDR SSgA Multi Asset Real Return
RM,regional-management,Regional Management
RMAX,re/max,RE/MAX
RMBL,rumbleon,RumbleOn
RMBS,rambus,Rambus
RMCF,rocky-mountain-chocolate-factory,Rocky Mountain Chocolate Factory
RMD,resmed,ResMed
RMED,ra-medical-systems,Ra Medical Systems
RMNI,rimini-street,Rimini Street
RMR,the-rmr,The RMR
RMT,royce-micro-cap-trust,Royce Micro-Cap Trust
RMTI,rockwell-medical,Rockwell Medical
RNDB,randolph-bancorp,Randolph Bancorp
RNET,rignet,RigNet
RNG,ringcentral,Ringcentral
RNGR,ranger-energy-services,Ranger Energy Services
RNN,rexahn-pharmaceuticals,Rexahn Pharmaceuticals
RNP,cohen-steers-reit-and-preferred-income-fund,Cohen & Steers Reit and Preferred Income Fund
RNR,renaissancere,RenaissanceRe
RNST,renasant,Renasant
RNWK,realnetworks,RealNetworks
ROAD,construction-partners,Construction Partners
ROAN,roan-resources,Roan Resources
ROCK,gibraltar-industries,Gibraltar Industries
ROG,rogers,Rogers
ROIC,retail-opportunity-investments,Retail Opportunity Investments
ROK,rockwell-automation,Rockwell Automation
ROKU,roku,Roku
ROL,rollins,Rollins
ROLL,rbc-bearings-incorporated,RBC Bearings Incorporated
ROM,proshares-ultra-technology,ProShares Ultra Technology
ROOF,iq-us-real-estate-small-cap,IQ US Real Estate Small Cap
ROP,roper,Roper
ROSE,rosehill-resources,Rosehill Resources
ROST,ross-stores,Ross Stores
ROX,castle-brands,Castle Brands
ROYT,pacific-coast-oil-trust-units-of-beneficial-interest,Pacific Coast Oil Trust Units of Beneficial Interest
RP,realpage,RealPage
RPAI,retail-properties-of-america,Retail Properties of America
RPD,rapid7,Rapid7
RPG,invesco-s-p-500-pure-growth,Invesco S&P 500 Pure Growth
RPM,rpm-international,RPM International
RPT,rpt-realty,RPT Realty
RPV,invesco-s-p-500-pure-value,Invesco S&P 500 Pure Value
RQI,cohen-steers-quality-income-realty-fund,Cohen & Steers Quality Income Realty Fund
RRC,range-resources,Range Resources
RRD,r-r-donnelley-sons-company,R.R. Donnelley & Sons Company
RRGB,red-robin-gourmet-burgers,Red Robin Gourmet Burgers
RRR,red-rock-resorts,Red Rock Resorts
RRTS,roadrunner-transportation-systems,Roadrunner Transportation Systems
RS,reliance-steel-aluminum-co-(de),Reliance Steel & Aluminum Co. (DE)
RSG,republic-services,Republic Services
RSP,invesco-s-p-500-equal-weight,Invesco S&P 500 Equal Weight
RST,rosetta-stone,Rosetta Stone
RSX,vaneck-vectors-russia,VanEck Vectors Russia
RTEC,rudolph,Rudolph
RTH,vaneck-vectors-retail,VanEck Vectors Retail
RTIX,rti-surgical,RTI Surgical
RTM,invesco-s-p-500-equal-weight-materials,Invesco S&P 500 Equal Weight Materials
RTN,raytheon-company,Raytheon Company
RTRX,retrophin,Retrophin
RTTR,ritter-pharmaceuticals,Ritter Pharmaceuticals
RTW,rtw-retailwinds,RTW Retailwinds
RUBI,the-rubicon-project,The Rubicon Project
RUBY,rubius-therapeutics,Rubius Therapeutics
RUN,sunrun,Sunrun
